Region,non_ruminants_rcp4.5,non_ruminants_rcp8.5,browser_rcp4.5,browser_rcp8.5,SNSBrowsers_rcp4.5,SNSBrowsers_rcp8.5,mixed_feeder_rcp4.5,mixed_feeder_rcp8.5,grazer_rcp4.5,grazer_rcp8.5,elephant_rcp4.5,elephant_rcp8.5
Southern Africa,-28.05041026,-31.21983432,0,-1.3893433,0,0,0,0,-28.24591231,-16.45574475,-888.327153,-1221.340825
Southern Africa,-20.7629242,-23.4376983,-2.044963796,11.52176289,0,0,-1.202987671,-1.279411316,-10.38140869,-2.606719971,990.099488,-534.343994
Southern Africa,-8.861198156,-5.066810336,2.008910178,14.20461177,0,0,1.17842483,1.2234993,-9.796597952,-33.57067108,-705.817383,-176.161133
Southern Africa,-70.54678156,-80.53698544,-11.39436342,-19.14374382,0.00129497,0.001369595,0,0,-756.9025548,-814.5038993,-659.655273,-2394.210083
Southern Africa,2.46509368,3.8947811,5.384794232,23.54365921,0.00129497,0.00129497,-1.389616016,-1.201198576,-11.87755728,-84.44664908,113.765625,-1345.011231
Southern Africa,-39.92897223,-34.77698706,0.781925692,13.76212408,0.00129497,0.001106143,-12.66526794,-9.327041626,-540.3510542,-597.4637746,-517.303223,-622.815674
Southern Africa,-36.19058228,-32.05492401,45.11954505,48.42138678,0.00129497,0.00129497,-5.475692749,-5.475692749,-137.6143422,-347.9929356,432.614258,-446.791992
East Africa,-99.2973424,-43.83085441,-11.1927796,-11.1927796,0.146140456,-0.019578457,-15.2357769,0.634719846,-255.4610672,-222.7836495,696.180786,1170.363891
Southern Africa,-4.57507515,4.54167938,-17.48685372,-9.154464482,0,0,1.03156471,0.86991405,2.78353214,-33.23525333,0,0
Southern Africa,-0.07204628,8.855182645,19.49065876,42.35780954,0.005506515,0.460626602,0,0,-5.296661135,-8.296619411,0,0
Southern Africa,1.77882958,13.18779468,16.57067919,26.30124045,-0.015052557,0.422121763,0.048294067,0.048294067,-6.52068901,-79.12983132,-220.6094665,-13.48677063
Southern Africa,17.65685076,74.75357625,10.51956177,11.39297295,0.011316895,0.003215432,10.08587265,5.964828491,-26.25545502,-31.58660697,-131.9668579,476.1072388
Southern Africa,40.54151015,87.52570386,10.29947093,11.17405677,0.0050596,0.005152703,15.3404808,0,-5.321401604,-9.370571145,-105.9931488,701.3791201
Southern Africa,18.18601798,60.26140975,19.66661357,15.79520249,0.003596246,0.003596246,0,0,3.61536694,23.69405271,0,0
Southern Africa,0.52496338,-0.01786422,0.408171177,-28.38850903,0,0,0,0,0,-7.25525284,101.463379,102.667481
East Africa,-95.0638657,-55.9638595,-11.1927795,-11.1927795,0.146141887,0.06094408,-2.21398163,-1.92344665,-536.2994919,-481.624733,0,0
Southern Africa,8.00012637,11.39433433,-18.23826123,-28.38851929,0,0.015000105,0,0,-0.274223809,-1.164868838,-34.4761963,160.888977
Southern Africa,-0.70529747,5.67852783,16.62861729,40.20973301,0.005506992,0.460627079,0,0,1.435606005,-0.623685837,0,0
Southern Africa,12.43369055,17.26904821,-15.32351905,-7.457024097,0,0,0,0,-14.19216347,-47.9273243,0,0
